footnotes,period,value,periodName,year,
[{}],Q04,1.3,4th Quarter,2016,
[{'code': 'R', 'text': 'revised'}],Q03,3.3,3rd Quarter,2016,
[{'code': 'R', 'text': 'revised'}],Q02,-0.1,2nd Quarter,2016,
[{}],Q01,-0.6,1st Quarter,2016,
[{'code': 'R', 'text': 'revised'}],Q04,-2.0,4th Quarter,2015,
[{'code': 'R', 'text': 'revised'}],Q03,1.8,3rd Quarter,2015,
[{'code': 'R', 'text': 'revised'}],Q02,1.0,2nd Quarter,2015,
[{'code': 'R', 'text': 'revised'}],Q01,1.2,1st Quarter,2015,
[{'code': 'R', 'text': 'revised'}],Q04,-1.4,4th Quarter,2014,
[{'code': 'R', 'text': 'revised'}],Q03,4.1,3rd Quarter,2014,
[{'code': 'R', 'text': 'revised'}],Q02,1.7,2nd Quarter,2014,
[{}],Q01,-3.7,1st Quarter,2014,
[{'code': 'R', 'text': 'revised'}],Q04,4.5,4th Quarter,2013,
[{}],Q03,1.7,3rd Quarter,2013,
[{}],Q02,-0.7,2nd Quarter,2013,
[{'code': 'R', 'text': 'revised'}],Q01,0.9,1st Quarter,2013,
[{'code': 'R', 'text': 'revised'}],Q04,-1.8,4th Quarter,2012,
[{'code': 'R', 'text': 'revised'}],Q03,-0.7,3rd Quarter,2012,
[{}],Q02,2.3,2nd Quarter,2012,
[{}],Q01,0.6,1st Quarter,2012,
